date,state,daily
8/26/2020,Malaysia,726
8/27/2020,Malaysia,713
8/28/2020,Malaysia,469
8/29/2020,Malaysia,251
8/30/2020,Malaysia,261
8/31/2020,Malaysia,191
9/1/2020,Malaysia,755
9/2/2020,Malaysia,735
9/3/2020,Malaysia,651
9/4/2020,Malaysia,603
9/5/2020,Malaysia,290
9/6/2020,Malaysia,407
9/7/2020,Malaysia,905
9/8/2020,Malaysia,696
9/9/2020,Malaysia,694
9/10/2020,Malaysia,609
9/11/2020,Malaysia,513
9/12/2020,Malaysia,343
9/13/2020,Malaysia,394
9/14/2020,Malaysia,809
9/15/2020,Malaysia,748
9/16/2020,Malaysia,234
9/17/2020,Malaysia,546
9/18/2020,Malaysia,392
9/19/2020,Malaysia,238
9/20/2020,Malaysia,467
9/21/2020,Malaysia,797
9/22/2020,Malaysia,691
9/23/2020,Malaysia,704
9/24/2020,Malaysia,493
9/25/2020,Malaysia,515
9/26/2020,Malaysia,389
9/27/2020,Malaysia,402
9/28/2020,Malaysia,688
9/29/2020,Malaysia,739
9/30/2020,Malaysia,728
10/1/2020,Malaysia,579
10/2/2020,Malaysia,467
10/3/2020,Malaysia,341
10/4/2020,Malaysia,515
10/5/2020,Malaysia,846
10/6/2020,Malaysia,629
10/7/2020,Malaysia,634
10/8/2020,Malaysia,518
10/9/2020,Malaysia,423
10/10/2020,Malaysia,233
10/11/2020,Malaysia,271
10/12/2020,Malaysia,631
10/13/2020,Malaysia,575
10/14/2020,Malaysia,616
10/15/2020,Malaysia,511
10/16/2020,Malaysia,507
10/17/2020,Malaysia,294
10/18/2020,Malaysia,289
10/19/2020,Malaysia,637
10/20/2020,Malaysia,574
10/21/2020,Malaysia,615
10/22/2020,Malaysia,559
10/23/2020,Malaysia,487
10/24/2020,Malaysia,307
10/25/2020,Malaysia,352
10/26/2020,Malaysia,672
10/27/2020,Malaysia,604
10/28/2020,Malaysia,622
10/29/2020,Malaysia,148
10/30/2020,Malaysia,389
10/31/2020,Malaysia,331
11/1/2020,Malaysia,363
11/2/2020,Malaysia,528
11/3/2020,Malaysia,585
11/4/2020,Malaysia,546
11/5/2020,Malaysia,555
11/6/2020,Malaysia,326
11/7/2020,Malaysia,327
11/8/2020,Malaysia,313
11/9/2020,Malaysia,509
11/10/2020,Malaysia,551
11/11/2020,Malaysia,429
11/12/2020,Malaysia,405
11/13/2020,Malaysia,435
11/14/2020,Malaysia,61
11/15/2020,Malaysia,128
11/16/2020,Malaysia,561
11/17/2020,Malaysia,629
11/18/2020,Malaysia,640
11/19/2020,Malaysia,486
11/20/2020,Malaysia,513
11/21/2020,Malaysia,179
11/22/2020,Malaysia,255
11/23/2020,Malaysia,489
11/24/2020,Malaysia,542
11/25/2020,Malaysia,532
11/26/2020,Malaysia,473
11/27/2020,Malaysia,414
11/28/2020,Malaysia,259
11/29/2020,Malaysia,229
11/30/2020,Malaysia,482
12/1/2020,Malaysia,571
12/2/2020,Malaysia,475
12/3/2020,Malaysia,464
12/4/2020,Malaysia,410
12/5/2020,Malaysia,195
12/6/2020,Malaysia,297
12/7/2020,Malaysia,514
12/8/2020,Malaysia,574
12/9/2020,Malaysia,533
12/10/2020,Malaysia,448
12/11/2020,Malaysia,327
12/12/2020,Malaysia,207
12/13/2020,Malaysia,369
12/14/2020,Malaysia,517
12/15/2020,Malaysia,570
12/16/2020,Malaysia,471
12/17/2020,Malaysia,465
12/18/2020,Malaysia,456
12/19/2020,Malaysia,221
12/20/2020,Malaysia,312
12/21/2020,Malaysia,449
12/22/2020,Malaysia,507
12/23/2020,Malaysia,453
12/24/2020,Malaysia,362
12/25/2020,Malaysia,54
12/26/2020,Malaysia,146
12/27/2020,Malaysia,229
12/28/2020,Malaysia,395
12/29/2020,Malaysia,521
12/30/2020,Malaysia,409
12/31/2020,Malaysia,337
1/1/2021,Malaysia,23
1/2/2021,Malaysia,48
1/3/2021,Malaysia,114
1/4/2021,Malaysia,263
1/5/2021,Malaysia,332
1/6/2021,Malaysia,278
1/7/2021,Malaysia,413
1/8/2021,Malaysia,398
1/9/2021,Malaysia,227
1/10/2021,Malaysia,196
1/11/2021,Malaysia,487
1/12/2021,Malaysia,456
1/13/2021,Malaysia,472
1/14/2021,Malaysia,417
1/15/2021,Malaysia,314
1/16/2021,Malaysia,97
